,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
2731,0,0,0,4,0,0,0,2,0,0,0,0,3,1,0,0,0,0,5,0
2732,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2
2734,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0
2736,2,0,0,3,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2737,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,5,2
2738,0,2,0,5,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0
2739,1,3,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0
2742,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,2,5
2743,1,2,4,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2744,0,0,0,5,3,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0
2745,3,2,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
2747,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,4
2748,0,1,0,5,4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
2751,5,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2753,5,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
2755,5,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,3
2756,0,0,0,5,0,0,0,0,0,0,2,0,0,0,3,0,1,0,4,0
2758,0,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2759,5,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
2762,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
2763,5,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0
2765,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
2766,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0
2768,2,1,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2769,0,5,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0
2773,0,1,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
2774,5,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0
2775,0,0,0,0,0,0,1,0,0,0,5,0,4,0,0,2,0,3,0,0
2776,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0
2777,5,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
2778,0,2,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
2779,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,5,0
2780,1,0,5,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2
2781,0,0,0,5,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,4
