,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
2879,100,30,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000
2880,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,5,30,100
2881,-1000,100,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,0,10
2883,30,-1000,-1000,100,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,10,-1000,-1000
2884,100,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5
2885,10,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,5,-1000,-1000
2886,-1000,0,-1000,-1000,-1000,-1000,-1000,5,10,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100
2887,100,5,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,30
2888,-1000,-1000,-1000,100,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,0,-1000,5
2889,0,100,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,10
2890,0,-1000,5,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,30
2891,30,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,10,100,-1000
2892,10,-1000,-1000,100,5,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0
2893,-1000,100,30,-1000,5,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000
2894,0,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,10,5
2895,100,5,30,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000
2903,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,10,-1000,30,-1000,-1000,5,-1000,-1000
2905,-1000,-1000,-1000,-1000,100,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,30
2906,-1000,100,-1000,-1000,5,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,30
2907,0,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000,30
2910,-1000,-1000,-1000,5,-1000,30,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,100,-1000,-1000,-1000
2911,10,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,100,-1000,-1000
2913,10,-1000,-1000,-1000,100,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,0,-1000,-1000
2914,5,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,30,-1000,-1000,-1000,10,-1000,-1000
2915,-1000,-1000,-1000,10,-1000,5,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,30,-1000,100,-1000,-1000,-1000
2916,10,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,30,-1000,-1000,0,-1000,-1000,-1000,100,-1000,-1000
2917,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,10,-1000,-1000,-1000,-1000,30,100
2918,-1000,30,5,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,0,-1000,-1000
2919,-1000,-1000,100,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,30,-1000,0
2921,-1000,5,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,100,10,-1000
2922,-1000,100,-1000,-1000,10,-1000,0,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000
2923,-1000,-1000,-1000,100,30,-1000,-1000,-1000,5,-1000,10,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2924,-1000,-1000,100,10,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,30
