,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
2680,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,0,-1000,-1000,30,-1000,10
2682,30,-1000,-1000,100,10,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000
2683,30,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,100,-1000,-1000,-1000,0,-1000,-1000
2685,-1000,100,0,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,5
2686,100,-1000,30,-1000,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000
2695,-1000,-1000,-1000,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,10,0
2697,30,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,5,-1000,-1000,-1000,10,-1000,-1000
2698,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,5,-1000,-1000,-1000,10,-1000,30,-1000
2700,100,10,0,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2701,10,-1000,-1000,100,5,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000
2703,100,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,0
2706,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,10,-1000,-1000,5,30,-1000,-1000,-1000
2707,-1000,-1000,-1000,-1000,0,30,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,10,-1000,100,-1000,-1000,-1000
2710,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,10,30,-1000,-1000,-1000,-1000,-1000,-1000,0,100
2713,-1000,-1000,-1000,100,-1000,30,-1000,-1000,-1000,-1000,-1000,10,-1000,0,-1000,-1000,-1000,-1000,5,-1000
2714,5,100,-1000,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000
2715,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,10
2717,10,-1000,-1000,-1000,-1000,5,-1000,0,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,100,-1000,-1000
2719,-1000,5,-1000,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,100,-1000
2720,5,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,100,-1000,-1000,30,-1000,-1000
2723,-1000,5,-1000,100,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,10,-1000,-1000,-1000,-1000,-1000
2725,-1000,30,-1000,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,10,-1000
2726,-1000,-1000,-1000,100,0,-1000,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000
2727,30,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000,100,-1000
2728,-1000,30,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,0,-1000,-1000,-1000,100,-1000
2729,100,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,5,-1000,30,-1000,-1000,-1000
2731,-1000,-1000,-1000,30,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,10,0,-1000,-1000,-1000,-1000,100,-1000
2732,-1000,-1000,-1000,10,30,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,5
2734,-1000,-1000,10,30,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000
2736,5,-1000,-1000,10,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,30,-1000,-1000,-1000,-1000,-1000,-1000
2737,-1000,0,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,100,5
2738,-1000,5,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,10,-1000,-1000,-1000,0,-1000,-1000,-1000
2739,0,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,100,-1000,-1000,-1000,-1000,-1000,-1000
2742,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,5,100
2743,0,5,30,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000
2744,-1000,-1000,-1000,100,10,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,30,-1000
2745,10,5,100,-1000,-1000,-1000,-1000,-1000,0,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2747,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000,10,30
2748,-1000,0,-1000,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,10,-1000,-1000
2751,100,-1000,30,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,0
2753,100,-1000,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,30,-1000,-1000
2755,100,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10
2756,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,10,-1000,0,-1000,30,-1000
2758,-1000,10,100,0,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2759,100,10,-1000,-1000,-1000,5,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000
2762,10,30,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,100,-1000
2763,100,-1000,-1000,-1000,0,-1000,-1000,5,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000
2765,0,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,100,5
2766,100,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,10,-1000,30,-1000,-1000
2768,5,0,30,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2769,-1000,100,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000
2773,-1000,0,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,10,-1000
2774,100,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,5,-1000,-1000,-1000,30,-1000,-1000
2775,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,100,-1000,30,-1000,-1000,5,-1000,10,-1000,-1000
2776,100,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,10,30,-1000
2777,100,10,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000
2778,-1000,5,100,30,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0
2779,30,-1000,-1000,-1000,-1000,-1000,-1000,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,100,-1000
2780,0,-1000,100,-1000,-1000,-1000,-1000,10,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5
2781,-1000,-1000,-1000,100,-1000,-1000,-1000,5,-1000,-1000,10,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30
2782,-1000,100,10,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,5,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000
2784,-1000,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,10,-1000,5,30,-1000,-1000
2785,-1000,-1000,-1000,-1000,10,-1000,-1000,5,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100
2786,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,5,10,-1000,100,-1000
2790,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,100,-1000,0,5,-1000,-1000,-1000,-1000,-1000,30
2791,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,0,10,-1000
2792,-1000,-1000,10,30,5,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100
2793,100,5,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,0,-1000,-1000
2794,-1000,100,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,0,-1000,-1000,-1000,10,-1000,-1000
2795,100,0,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,30
2796,-1000,-1000,100,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,30,10,-1000,-1000,-1000,-1000,5,-1000,-1000
2797,0,-1000,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,5,-1000,-1000,-1000
2798,30,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,5,100,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000
2799,-1000,-1000,5,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,10,0
2802,-1000,-1000,-1000,-1000,10,-1000,5,-1000,-1000,100,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,0,-1000
2803,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,0,30,-1000,-1000,10,-1000,-1000,-1000,5,-1000
2804,-1000,30,-1000,10,100,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000
2805,-1000,-1000,30,100,-1000,-1000,-1000,-1000,-1000,-1000,5,0,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000
2806,100,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2809,-1000,0,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000,30
2810,-1000,30,0,5,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,-1000
2811,5,-1000,100,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,0
2814,0,-1000,10,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,5,-1000,-1000
2815,-1000,0,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,30,-1000,-1000,-1000,-1000,-1000,10,-1000
2816,100,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,30,-1000,-1000,-1000,5,-1000,-1000
2818,-1000,-1000,-1000,-1000,100,-1000,-1000,0,-1000,-1000,-1000,-1000,30,5,-1000,-1000,-1000,10,-1000,-1000
2819,-1000,-1000,0,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,100,10
2820,5,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,0,-1000,-1000,100,-1000,-1000
2821,-1000,-1000,5,30,-1000,-1000,-1000,-1000,-1000,-1000,0,100,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000
2822,5,-1000,-1000,10,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100,30,-1000
2826,5,-1000,100,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,10,-1000,-1000
2828,5,0,-1000,-1000,100,-1000,10,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2829,10,5,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2830,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,10,-1000,30,5,-1000,-1000
2832,100,-1000,-1000,30,5,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000
2833,10,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,30,100,-1000
2835,100,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,10
2836,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,10,100,5,-1000,-1000,-1000,-1000,-1000
2837,-1000,-1000,-1000,-1000,100,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,5,-1000,-1000
2838,-1000,-1000,100,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,0,5,-1000,-1000,-1000,-1000,-1000,-1000,10
2839,100,5,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000
2841,100,-1000,10,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,5,-1000
2842,100,-1000,10,5,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000
2843,-1000,-1000,-1000,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,10,5,-1000
2844,-1000,100,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,5,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30
2846,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,0,-1000,-1000,100,5,-1000,-1000,10,-1000,-1000,-1000,-1000
2847,-1000,10,-1000,30,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,0,-1000,-1000
2848,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,5,-1000,-1000,-1000,10,-1000,-1000
2849,0,-1000,10,-1000,-1000,-1000,-1000,5,-1000,-1000,-1000,100,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2855,-1000,-1000,-1000,100,5,-1000,-1000,-1000,0,-1000,10,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000
2856,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,10,5
2858,-1000,100,0,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,5
2859,-1000,5,100,30,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000
2860,-1000,-1000,-1000,100,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,30,-1000,-1000,-1000,5,10,-1000
2861,10,5,30,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000
