                    , A_C10, A_C11, A_C13, A_C14, A_C15, A_C19, A_C17, A_J2, A_J21, A_C12, A_C1, A_C18, A_J26, A_J29, A_J27, A_J28, A_J25, A_J24, A_J23, A_J22, A_J1, B_J20, B_C10, B_C11, B_C13, B_C14, B_C15, B_C19, B_C17, B_J2, B_J21, B_C12, B_C1, B_C18, B_J26, B_J29, B_J27, B_J28, B_J25, B_J24, B_J23, B_J22, B_J1, B_J20
A_5/10/2022 19:40:08,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     2,     0,     0,     0,     0,     0,     1,     3,    0,     0,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     2,     0,     0,     0,     0,     0,     1,     3,    0,     0
A_5/10/2022 19:43:58,     0,     0,     0,     0,     0,     0,     0,    0,     5,     0,    2,     0,     0,     4,     1,     0,     3,     0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     5,     0,    2,     0,     0,     4,     1,     0,     3,     0,     0,     0,    0,     0
A_5/10/2022 20:09:37,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     3,     0,     0,     1,     2,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     3,     0,     0,     1,     2,     0,    0,     0
A_5/10/2022 20:09:46,     5,     4,     0,     3,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1,     5,     4,     0,     3,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1
A_5/10/2022 21:06:29,     0,     0,     3,     0,     0,     0,     0,    5,     0,     0,    0,     0,     1,     0,     2,     0,     0,     4,     0,     0,    0,     0,     0,     0,     3,     0,     0,     0,     0,    5,     0,     0,    0,     0,     1,     0,     2,     0,     0,     4,     0,     0,    0,     0
A_5/10/2022 21:13:13,     0,     2,     0,     0,     0,     3,     0,    0,     0,     5,    1,     0,     4,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     3,     0,    0,     0,     5,    1,     0,     4,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_5/10/2022 22:05:12,     0,     4,     0,     0,     0,     0,     0,    2,     5,     0,    0,     0,     0,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    2,     5,     0,    0,     0,     0,     0,     3,     0,     0,     1,     0,     0,    0,     0
A_5/11/2022 16:09:41,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     0,     2,     0,     0,    4,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     0,     2,     0,     0,    4,     0
A_5/11/2022 19:40:20,     0,     0,     0,     4,     0,     0,     0,    0,     1,     0,    2,     0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     3,     0,     0,     0,     4,     0,     0,     0,    0,     1,     0,    2,     0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     3
A_5/11/2022 20:15:43,     0,     3,     0,     0,     0,     0,     0,    2,     0,     0,    0,     0,     0,     0,     0,     0,     5,     0,     1,     4,    0,     0,     0,     3,     0,     0,     0,     0,     0,    2,     0,     0,    0,     0,     0,     0,     0,     0,     5,     0,     1,     4,    0,     0
A_5/11/2022 21:16:11,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,    2,     0,     0,     1,     0,     0,     0,     3,     0,     0,    0,     5,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,    2,     0,     0,     1,     0,     0,     0,     3,     0,     0,    0,     5
A_5/11/2022 21:35:11,     0,     4,     0,     5,     0,     0,     0,    0,     0,     0,    3,     0,     0,     1,     0,     0,     0,     0,     0,     0,    0,     2,     0,     4,     0,     5,     0,     0,     0,    0,     0,     0,    3,     0,     0,     1,     0,     0,     0,     0,     0,     0,    0,     2
A_5/12/2022 8:53:19 ,     0,     0,     0,     3,     0,     0,     0,    0,     4,     0,    0,     0,     0,     0,     0,     1,     0,     5,     0,     0,    0,     2,     0,     0,     0,     3,     0,     0,     0,    0,     4,     0,    0,     0,     0,     0,     0,     1,     0,     5,     0,     0,    0,     2
A_5/12/2022 9:30:36 ,     0,     5,     2,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     4,     0,     0,     3,     0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     4,     0,     0,     3,     0,     0,     0,    0,     0
A_5/12/2022 11:58:02,     0,     0,     0,     0,     1,     0,     3,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     2,     5,    0,     0,     0,     0,     0,     0,     1,     0,     3,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     2,     5,    0,     0
A_5/12/2022 20:22:59,     0,     4,     0,     2,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,     4,     0,     2,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0
A_5/12/2022 21:37:10,     0,     0,     3,     0,     0,     0,     0,    0,     4,     0,    0,     0,     1,     0,     0,     0,     2,     0,     0,     0,    5,     0,     0,     0,     3,     0,     0,     0,     0,    0,     4,     0,    0,     0,     1,     0,     0,     0,     2,     0,     0,     0,    5,     0
A_5/12/2022 22:31:43,     0,     0,     0,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     3,     4,     0,     0,     0,     1,     0,    2,     0,     0,     0,     0,     0,     0,     5,     0,    0,     0,     0,    0,     0,     0,     3,     4,     0,     0,     0,     1,     0,    2,     0
A_5/13/2022 10:58:53,     0,     0,     0,     0,     0,     1,     0,    0,     0,     4,    3,     0,     0,     0,     0,     0,     0,     0,     2,     0,    0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0,     4,    3,     0,     0,     0,     0,     0,     0,     0,     2,     0,    0,     0
A_5/13/2022 13:00:18,     0,     0,     0,     0,     4,     3,     0,    0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,     1,    0,     0,     0,     0,     0,     0,     4,     3,     0,    0,     0,     0,    0,     0,     0,     5,     2,     0,     0,     0,     0,     1,    0,     0
A_5/13/2022 13:18:44,     0,     4,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     3,     0,     0,     0,     5,     0,     0,    0,     0,     0,     4,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     3,     0,     0,     0,     5,     0,     0,    0,     0
A_5/13/2022 17:14:22,     0,     0,     0,     3,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0,     0,     0,     0,     3,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0
A_5/14/2022 11:13:59,     4,     0,     0,     2,     0,     0,     0,    0,     0,     1,    5,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0,     4,     0,     0,     2,     0,     0,     0,    0,     0,     1,    5,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     0
A_5/15/2022 12:26:34,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     2,     3,     4,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     2,     3,     4,    0,     0
A_5/15/2022 12:43:05,     0,     4,     0,     0,     0,     0,     0,    0,     3,     0,    1,     0,     0,     2,     0,     0,     5,     0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     3,     0,    1,     0,     0,     2,     0,     0,     5,     0,     0,     0,    0,     0
A_5/15/2022 13:28:23,     0,     1,     0,     0,     0,     0,     0,    3,     0,     0,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    4,     0,     0,     1,     0,     0,     0,     0,     0,    3,     0,     0,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    4,     0
A_5/15/2022 15:58:23,     0,     0,     1,     0,     0,     0,     0,    4,     0,     3,    0,     0,     2,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,     0,     1,     0,     0,     0,     0,    4,     0,     3,    0,     0,     2,     0,     5,     0,     0,     0,     0,     0,    0,     0
A_5/15/2022 16:29:13,     3,     4,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     1,     0,    0,     0,     3,     4,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     1,     0,    0,     0
A_5/15/2022 20:05:27,     0,     1,     0,     0,     0,     0,     0,    3,     0,     4,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     1,     0,     0,     0,     0,     0,    3,     0,     4,    2,     0,     5,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_5/15/2022 20:40:25,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     4,     0,     1,     0,     5,     0,     2,     0,    0,     3,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     4,     0,     1,     0,     5,     0,     2,     0,    0,     3
