                    , A_C10, A_C11, A_C13, A_C14, A_C15, A_C19, A_C17, A_J2, A_J21, A_C12, A_C1, A_C18, A_J26, A_J29, A_J27, A_J28, A_J25, A_J24, A_J23, A_J22, A_J1, B_J20, B_C10, B_C11, B_C13, B_C14, B_C15, B_C19, B_C17, B_J2, B_J21, B_C12, B_C1, B_C18, B_J26, B_J29, B_J27, B_J28, B_J25, B_J24, B_J23, B_J22, B_J1, B_J20
A_5/8/2022 13:10:32 ,     0,     0,     5,     3,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     2,     1,     0,    0,     0,     0,     0,     5,     3,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     2,     1,     0,    0,     0
A_5/28/2022 14:41:57,     0,     3,     4,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     2,     0,     0,     0,     0,     5,    1,     0,     0,     3,     4,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     2,     0,     0,     0,     0,     5,    1,     0
A_5/9/2022 4:14:07  ,     0,     0,     1,     3,     0,     5,     0,    0,     0,     0,    2,     0,     0,     4,     0,     0,     0,     0,     0,     0,    0,     0,     0,     0,     1,     3,     0,     5,     0,    0,     0,     0,    2,     0,     0,     4,     0,     0,     0,     0,     0,     0,    0,     0
A_5/9/2022 15:53:57 ,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,    3,     0,     2,     0,     5,     0,     4,     0,     0,     0,    0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,    3,     0,     2,     0,     5,     0,     4,     0,     0,     0,    0,     0
A_5/9/2022 16:22:23 ,     0,     4,     0,     0,     1,     0,     0,    0,     0,     0,    2,     0,     0,     0,     5,     3,     0,     0,     0,     0,    0,     0,     0,     4,     0,     0,     1,     0,     0,    0,     0,     0,    2,     0,     0,     0,     5,     3,     0,     0,     0,     0,    0,     0
A_5/9/2022 16:48:43 ,     0,     0,     4,     0,     5,     0,     0,    0,     0,     0,    0,     0,     3,     0,     2,     0,     0,     0,     0,     1,    0,     0,     0,     0,     4,     0,     5,     0,     0,    0,     0,     0,    0,     0,     3,     0,     2,     0,     0,     0,     0,     1,    0,     0
A_5/9/2022 17:09:13 ,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     0,     0,    2,     5,     0,     3,     0,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     0,     0,    2,     5
A_5/9/2022 17:42:39 ,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     5,     0,     0,     0,     2,     0,     0,    0,     3,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     5,     0,     0,     0,     2,     0,     0,    0,     3
A_5/9/2022 18:25:06 ,     5,     0,     4,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     1,     0,    3,     0,     5,     0,     4,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     1,     0,    3,     0
A_5/9/2022 18:28:23 ,     0,     3,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     4,     0,     0,    0,     0,     0,     3,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     4,     0,     0,    0,     0
A_5/9/2022 18:43:51 ,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     3,     1,     0,    4,     0,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     3,     1,     0,    4,     0
A_5/9/2022 21:30:15 ,     0,     2,     3,     0,     0,     4,     0,    0,     0,     0,    5,     0,     0,     0,     0,     0,     0,     0,     0,     1,    0,     0,     0,     2,     3,     0,     0,     4,     0,    0,     0,     0,    5,     0,     0,     0,     0,     0,     0,     0,     0,     1,    0,     0
A_5/9/2022 21:43:13 ,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     3,     5,     2,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     4,     0,     0,     0,     3,     5,     2,    0,     0
A_5/9/2022 22:18:53 ,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     3,     0,     0,     0,     1,     0,    0,     0,     5,     0,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     2,     3,     0,     0,     0,     1,     0,    0,     0
A_5/10/2022 9:38:04 ,     0,     1,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,     2,    5,     0,     0,     1,     0,     4,     0,     0,     0,    0,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,     2,    5,     0
A_5/10/2022 13:02:04,     0,     3,     0,     0,     0,     0,     4,    5,     0,     0,    2,     0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     4,    5,     0,     0,    2,     0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0
A_5/10/2022 13:35:14,     0,     0,     0,     0,     1,     5,     0,    0,     2,     0,    0,     0,     3,     0,     0,     0,     0,     0,     0,     0,    4,     0,     0,     0,     0,     0,     1,     5,     0,    0,     2,     0,    0,     0,     3,     0,     0,     0,     0,     0,     0,     0,    4,     0
A_5/10/2022 17:08:31,     0,     3,     0,     0,     5,     0,     0,    4,     1,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,     3,     0,     0,     5,     0,     0,    4,     1,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0
A_5/10/2022 18:11:48,     4,     0,     0,     0,     0,     1,     0,    0,     0,     3,    2,     0,     0,     0,     0,     0,     5,     0,     0,     0,    0,     0,     4,     0,     0,     0,     0,     1,     0,    0,     0,     3,    2,     0,     0,     0,     0,     0,     5,     0,     0,     0,    0,     0
A_5/10/2022 18:55:46,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     5,     0,     0,     0,     1,     2,     0,    0,     4,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     5,     0,     0,     0,     1,     2,     0,    0,     4
A_5/10/2022 19:04:26,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     4,     0,     0,     0,     2,     0,     3,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     4,     0,     0,     0,     2,     0,     3,    0,     0
